id,English,Hebrew
3191,propose,להציע להציע נישואין
3192,proposition,הצעה
3193,prospective,צפוי עתידי
3194,punish,להעניש
3195,readily,ללא קושי
3196,readiness,מוכנות
3197,realize,הבין
3198,rearing,גידול טיפוח
3199,reassurance,הבטחה הרגעה
3200,reborn,נולד מחדש
3201,recall,להיזכר
3202,recall,להחזיר להשיב צלצול
3203,recruitment,גיוס
3204,reliable,אמין שניתן לסמוך עליו
3205,relic,שארית שריד
3206,relieve,להקהל
3207,remedy,תרופה
3208,reorganize,לארגן מחדש
3209,repelled,דחה הגעיל
3210,replica,העתק מדויק
3211,represent,לייצג מייצג
3212,repressive,מדכא
3213,reproduce,להתרבות לשכפל
3214,reputation,שם מוניטין
3215,resent,להתנגד להתרעם
3216,reservation,שריון מקום
3217,reservation,שמורה
3218,reserve,לשמור
3219,reserve,שמורה
3220,reserve,עתודה מילואים
3221,reservoir,מאגר
3222,resigned,התפטר
3223,respect,כבוד לכבד
3224,respectfully,בכבוד
3225,respond,להגיב תגובה תשובה
3226,responsibility,אחריות
3227,responsible,אחראי
3228,retirement,פרישה
3229,retreat,לסגת נסיגה
3230,revise,לתקן לשפר
3231,revision,בדיקה מחדש לצורך שיפור
3232,ridicule,ללעוג
3233,ridiculous,מגוחך
3234,rim,שפה
3235,rope,חבל
3236,rub,לשפשף
3237,rumor,שמועה
3238,salary,שכר
3239,sanction,קנס עונש עידוד
3240,saw,מסור
3241,saw see,ראה לראות
3242,seeds,זרעים
3243,segment,קטע מקטע
3244,self-confidence -,בטחון עצמי
3245,self-indulgence -,סיפוק עצמי
3246,sequel,המשך
3247,sequence,רצף
3248,shatter,לנפץ להרוס לקעקע
3249,shell,קליפה מעטפת
3250,shell,פגז
3251,shelter,מקלט
3252,shield,מגן להגן
3253,signature,חתימה
3254,silent,דומם שקט
3255,silently,בשקט
3256,slant,אלכסון נטייה
3257,slate,להכניס מישהו לרשימה
3258,slate,רעף לוח
3259,slaughter,לטבוח לשחוט ֶטַבח
3260,slave,עבד
3261,slavery,עבדות
3262,slender,רזה
3263,slope,שיפוע מדרון
3264,snicker,גיחוך
3265,soldier,חייל
3266,solitary,מבודד
3267,solve,לפתור
3268,soul,נשמה
3269,sound,קול
3270,sound,בריא
3271,special,מיוחד
3272,spike,יתד
3273,splendor,פאר
3274,spotlight,זרקור
3275,stage,במה לביים
3276,starve,לרעוב
3277,store,חנות לאחסן
3278,store,לאחסן
3279,stress,להדגיש
3280,stress,מתח לחץ מצוקה
3281,strict,נוקשה
3282,stubborn,עקשן
3283,subsequent,עוקב
3284,supplement,תוסף
3285,supply,אספקה
3286,susceptible,רגישות
3287,suspend,להשעות
3288,suspense,השהיה מתח
3289,tact,טקט
3290,tension,מתח
3291,testify,להעיד
3292,texture,מרקם טקסטורה
3293,tie,עניבה
3294,tie,לקשור קשר
3295,timber,עץ
3296,tomb,קבר
3297,trait,תכונה
3298,tranquilize,להרגיע להרדים
3299,transaction,עסקה
3300,transcend,להתעלות
3301,transition,מעבר שינוי
3302,transparent,שקוף
3303,transport,הובלה
3304,transport,להוביל
3305,transportation,תחבורה
3306,unconventional,לא שיגרתי
3307,underestimate,הערכה נמוכה לזלזל
3308,vacant,פנוי ריק
3309,veteran,חייל משוחרר יוצא צבא
3310,veteran,ותיק
3311,virtue,מעלה
3312,vital,חיוני
3313,vivid,חד בהיר ססגוני שופע
3314,vulnerable,פגיעות
3315,warn,להזהיר
3316,warning,אזהרה
3317,weaken,להחליש
3318,withdraw,לסגת לפרוש
3319,witness,עד להעיד
3320,worry,דאגה לדאוג
3321,zoo,גן חיות
3322,abhor,לשנוא לתעב
3323,adolescence,גיל ההתבגרות
3324,agency,סוכנות
3325,apathetic,אדיש
3326,apathy,אפאתיה אדישות
3327,appease,לפייס
3328,appetite,תיאבון רצון עז
3329,applaud,מחא כפיים הריע
3330,arable,מתאים לעיבוד
3331,attorney,עורך דין
3332,aura,הילה
3333,awe,יראת כבוד
3334,awkward,מגושם
3335,awkward,מוזר מביך
3336,bail,ערבות לשחרר בערבות
3337,bald,קרח
3338,bargain,מציאה עסקה
3339,bargain,להתמקח
3340,barn,אסם
3341,basin,אגן כיור
3342,beard,זקן
3343,beast,חיה מפלצת
3344,beat,מכה להכות
3345,beat,מקצב
3346,behind,ישבן
3347,"biblical ""","תנ""כי"
3348,bland,תפל
3349,blink,למצמץ
3350,bond,קשר
3351,breed,להרביע להפרות
3352,breed,מין גזע
3353,burglar,פורץ
3354,butcher,קצב
3355,butcher,לשחוט
3356,cavity,חור
3357,celebrate,לחגוג
3358,charm,קסם
3359,cheat,לרמות לבגוד
3360,clash,התנגשות
3361,cliff,צוק
3362,cloak,מסווה להסוות
3363,coma,תרדמת
3364,comic,קומי (מהמילה קומדיה)
3365,cosmopolitan,אוניברסלי
3366,cough,שיעול להשתעל
3367,course,קורס
3368,course,מנה
3369,course,מסלול
3370,cousin,בן דוד
3371,cripple,להטיל מום
3372,croak,קרקור
3373,crop,לקצץ
3374,crop,יבול
3375,crowd,להצטופף
3376,crowd,קהל
3377,curtain,וילון
3378,dagger,פגיון
3379,dairy,מחלבה
3380,dandy,גנדרני
3381,decorate,לקשט
3382,decorative,קישוטי דקורטיבי
3383,deer,איל
3384,demented,משוגע מטורף
3385,densely,בצפיפות
3386,density,צפיפות
3387,depict,לתאר להציג לשרטט
3388,derision,לעג
3389,detail,פרט לפרט
3390,detrimental,מזיק
3391,devastated,הרוס מפורק
3392,diet,דיאטה תזונה
3393,dim,לעמעמם
3394,disarmament,פירוק מנשק
3395,discord,סכסוך מחלוקת צרימה
3396,disgust,גועל להגעיל
3397,dissect,לנתח לבתר
3398,dissection,חיתוך ביתור
3399,disuse,חוסר שימוש
3400,dose,מנה מינון
3401,double standard,מוסר כפול
3402,draft,גיוס
3403,draft,טיוטה
3404,draft,משיכה
3405,draft,רוח פרצים
3406,drag,לגרור
3407,dread,פחד לפחד
3408,drench,להרטיב להספיג
3409,drip,לטפטף
3410,dull,סתום
3411,dull,עמום
3412,dull,משעמם
3413,dump,לשפוך
3414,dwell,להתגורר
3415,dwelling,משכן בית
3416,dye,צבע לצבוע
3417,East,מזרח
3418,eccentric,מוזר אקסצנטרי
3419,ecological,אקולוגי
3420,elastic,גמיש אלסטי גומיה
3421,elderly,זקן
3422,embalm,לחנוט לשמר
3423,embarrass,להביך
3424,embitter,גורם התמרמרות
3425,emit,לפלוט להוציא
3426,empathy,הזדהות אמפתיה
3427,emphasize,להדגיש
3428,enchant,לכשף להקסים
3429,encroach,להסיג גבול לפלוש
3430,engine,מנוע
3431,engineer,מהנדס להנדס
3432,enrich,להעשיר
3433,enroll,להירשם
3434,ensue,נבע
3435,enthusiasm,התלהבות
3436,envious,קנאי
3437,envy,קנאה לקנא
3438,epitomize,לייצג לאפיין
3439,erosion,סחף כרסום
3440,erroneous,שגוי
3441,evocative,מעורר מעלה מזכיר
3442,exhale,לנשוף
3443,exhibit,להציג מוצג
3444,exhibition,תערוכה
3445,exile,להגלות לגרש
3446,expand,להרחיב
3447,expansion,התפתחות
3448,expatriate,להגלות לגרש
3449,expel,להשעות להרחיק
3450,explode,להתפוצץ
3451,extortion,סחיטה
3452,extraordinary,בלתי רגיל
3453,extrapolate,לאמוד על סמך מידע קיים
3454,faint,קלוש
3455,faint,להתעלף
3456,famine,רעב קשה
3457,famous,מפורסם
3458,fatigue,לעייף
3459,fatigue,עייפות תשישות
3460,fault,אשמה
3461,fault,פגם תקלה
3462,faulty,לקוי לא תקין
3463,fever,חום (של מחלה)
3464,flavor,לתבל
3465,flavor,טעם
3466,flee fled,להימלט נמלט
3467,flip,להפוך צד
3468,flip,סלטה
3469,flip,לזרוק להעיף
3470,flow,זרם
3471,focus,להתמקד מיקוד
3472,forgettable,שאפשר לשכוח אותו
3473,foster,אומן מאומץ
3474,fraction,שבר
3475,fracture,שבר
3476,fraud,מרמה הונאה
3477,frequency,תדר תדירות
3478,frequent,תדיר שכיח
3479,frightening,מפחיד
3480,fringes,שוליים
3481,frugal,חסכני
3482,frustration,תסכול
3483,fuel,דלק
3484,fume,אדים עשן
3485,fungus,פטרת
3486,fur,פרווה
3487,fury,זעם
3488,gamble,הימר
3489,gene,גן (תורשתי)
3490,genesis,ספר בראשית
3491,genesis,היווצרות התהוות
3492,genetic,תורשתי גנטי
3493,genial,ידידותי
3494,glance,מבט חטוף
3495,glitch,תקלה הפרעה
3496,glorify,להאדיר
3497,grace,חסד חינניות
3498,gracious,חינני אדיב
3499,grain,גרעין לטחון
3500,grain,תבואה
3501,hike,הליכה טיול
3502,hobby,תחביב
3503,humiliate,להשפיל
3504,humility,ענוה
3505,ice cream,גלידה
3506,iceberg,קרחון
3507,icicle,נטיף קרח
3508,indigenous,ילידים מולד
3509,inflammation,דלקת
3510,inflate,לנפח
3511,infraction,עבירה
3512,ingest,להכניס משהו לגוף דרך הפה
3513,ingredients,מרכיבים
3514,injure,לפצוע
3515,insect,חרק
3516,installation,התקנה
3517,instant,בהרף עין
3518,instant,מיידי
3519,instill,להחדיר להשריש
3520,insulate,לבודד
3521,insurrection,התקוממות
3522,intact,ללא פגע
3523,intermediary,מתווך אמצעי
3524,interminable,נצחי
3525,intimidate,להפחיד
3526,intrusive,פולשני
3527,invariably,ללא שינוי
3528,ironic,אירוני
3529,jagged,משונן
3530,journey,מסע
3531,joyous,שמח עליז
3532,keep,לשמור
3533,keep,חלק מהמצודה
3534,kick,לבעוט בעיטה
3535,knees,ברכיים
3536,knot,קשר
3537,lamentable,מצער מעציב
3538,laugh,לצחוק
3539,lend,להלוות להשאיל
3540,liberal,ליברלי מתירני
3541,library,ספריה
3542,limb,קצה
3543,limb,גף איבר
3544,limber,גמיש
3545,lineage,ייחוס שושלת
3546,linger,להתעכב להשתהות
3547,link,קישור לקשר חוליה
3548,lodge,להתאכסן אכסנייה
3549,log,בול עץ
3550,log,יומן לתעד ביומן
3551,lone,בודד יחיד
3552,loneliness,בדידות
3553,lumber,גזע עץ
3554,maximize,למקסם
3555,maze,מבוך
3556,mechanize,למכן להתקין מכונות
3557,media,מדיה תקשורת
3558,Mediterranean,ים תיכוני
3559,memorial,מצבה תזכיר
3560,memorize,לשנן לזכור בעל פה
3561,memory,זיכרון לזכר
3562,mental,נפשי
3563,mention,להזכיר לאזכר
3564,mentor,מדריך רוחני
3565,mercy,רחמים
3566,midair,באוויר
3567,minimize,למזער
3568,mirror,מראה
3569,misbehave,להתנהג בצורה לא הולמת
3570,mischief,נזק מעשה קונדס
3571,miss,להתגעגע
3572,miss,לפספס
3573,misty,מעורפל
3574,mix,לערבב ערבוב
3575,monitor,להשגיח מוניטור
3576,monument,אנדרטה
3577,motif,מוטיב
3578,mountain,הר
3579,mountainside,מדרון
3580,mountaintop,פסגת הר
3581,mourning,אבל מתאבל
3582,narration,קריינות
3583,naval,ימי
3584,neck,צוואר
3585,nest,קן לקונן
3586,norm,נורמה תקן
3587,North,צפון
3588,nose,אף חרטום
3589,nowadays,כיום
3590,numb,רדום חסר תחושה
3591,obsession,אובססיה דיבוק
3592,odor,ריח ניחוח
3593,old-fashioned,מיושן
3594,outweigh,עולה על שוקל יותר מ
3595,owe,להיות חייב
3596,oxygen,חמצן
3597,palm,כף יד
3598,palm,דקל
3599,pardon,סליחה לסלוח
3600,pardon,לחון חנינה
3601,peek,להציץ
3602,petty,קטן חסר חשיבות
3603,petty,קטנוני
3604,phobia,פוביה פחד כרוני
3605,pivot,ציר לסובב על ציר
3606,plate,צלחת לוח
3607,plead,לעתור להתחנן
3608,pleasure,תענוג לענג
3609,pledge,להתחייב
3610,plight,צרה סכנה
3611,plunge,טבילה
3612,poignant,חריף נוקב
3613,poisonous,רעיל
3614,polish,פולני
3615,polish,להבריק לצחצח
3616,polite,מנומס
3617,portray,לתאר לצייר
3618,precious,יקר
3619,predominantly,באופן ניכר
3620,prey,טרף לטרוף
3621,prize,פרס
3622,probe,לחטט לברר לגשש
3623,proverb,פתגם אמרה
3624,pupil,תלמיד
3625,purchase,לקנות לרכוש
3626,puzzle,חידה פאזל
3627,puzzled,מבולבל
3628,quake,רעד
3629,quench,לספק להרוות
3630,rage,זעם
3631,raid,פשיטה
3632,reap,לקצור
3633,rebel,מורד
3634,rebellion,מרד
3635,rebellious,סורר מרדני
3636,recipe,מתכון
3637,recipient,נמען
3638,reciprocal,מספר הופכי (במתמטיקה)
3639,reciprocate,הדדי
3640,recreation,בילוי
3641,refund,החזר
3642,regret,להתחרט חרטה
3643,regulate,לווסת
3644,rehabilitation,שיקום
3645,relegated,הורד בדרגה
3646,resort,אתר נופש
3647,resort,לנקוט באמצעים
3648,revitalize,להחיות
3649,revived,קם לתחייה התחדש
3650,revolt,מרד
3651,revolution,מהפכה
3652,rhythm,ֶקֶצב
3653,root,שורש
3654,rotary,נע על ציר סיבובי
3655,rubber,גומי
3656,sailor,ימאי
3657,salvation,ישועה גאולה
3658,saturated,רווי
3659,scale,סולם סקלה
3660,scale,לעלות לטפס
3661,scale,מאזניים
3662,scales,קשקשים (של דג)
3663,scan,סריקה לסרוק
3664,scorn,לבוז לזלזל מנודה
3665,scrutinize,בדק בחן
3666,sculpture,פסל
3667,sedative,סם הרגעה משכך
3668,segregation,הפרדה
3669,seizure,התקף
3670,separately,בנפרד
3671,separation,הפרדה
3672,shrink,לכווץ  כיווץ
3673,shroud,תכריך עטיפה
3674,sin,חטא
3675,sincerity,כנות
3676,situation,מצב סיטואציה
3677,slaughterhouse,בית מטבחיים
3678,sober,פיכח
3679,solely,בלבד רק
3680,sperm,זרע
3681,spewing,להזרים
3682,spice,תבלין לתבל
3683,spicy,פיקנטי
3684,spray,לרסס לפזר
3685,stain,כתם
3686,stamp,בול חותמת
3687,step,צעד לצעוד
3688,storm,סערה
3689,straighten,ליישר
3690,study,מחקר
3691,study,חדר עבודה
3692,stunned,נדהם היה המום
3693,substance,חומר תוכן
3694,suggest,להציע
3695,suicide,התאבדות
3696,summits,פסגות
3697,surgery,ניתוח
3698,surpass,להצטיין לעלות על
3699,surrender,להיכנע
3700,surveillance,מעקב
3701,survival,הישרדות
3702,swallow,לבלוע
3703,sweep,לטאטא
3704,symmetry,סימטריה התאמה
3705,taint,לזהם
3706,taint,להכתים להכפיש
3707,tainted,מוכתם מזוהם
3708,talent,כשרון
3709,tame,לאלף לבית
3710,tentative,ניסיוני טנטטיבי
3711,thief,גנב
3712,thriller,מותחן
3713,tone,טון
3714,transcript,תמליל פרוטוקול
3715,trip,למעוד
3716,trip,טיול
3717,unofficial,בלתי רשמי
3718,unorganized,לא מאורגן
3719,unpardonable,בלתי נסלח
3720,unrealistic,לא מציאותי
3721,unrest,חוסר שקט
3722,unwilling,לא מוכן ממאן
3723,upheaval,מהפך
3724,uproar,רעש מהומה
3725,urine,שתן
3726,utilize,השתמש
3727,utter,לבטא להגות
3728,valley,עמק
3729,valve,שסתום
3730,verbal,ורבלי מילולי
3731,via,דרך
3732,victim,קורבן
3733,vocabulary,אוצר מילים
3734,vocation,מקצוע
3735,wagon,עגלה
3736,wander,להסתובב לשוטט
3737,West,מערב
3738,wine,יין
3739,wonder,פלא
3740,wonder,לתהות להטיל ספק
3741,wonderful,נפלא
3742,wood,עץ
3743,woods,יער
3744,wound,פצע
3745,wound,מתוח נמתח
3746,wrap,לעטוף מעטפת
3747,wrought,מעוצב מחושל
3748,young,צעיר
3749,abacus,חשבונייה
3750,academic,אקדמי
3751,actress,שחקנית (בהצגה או סרט)
3752,adorn,לקשט
3753,agenda,סדר יום
3754,air conditioner,מזגן
3755,algae,אצות
3756,antler,קרן
3757,automobile,כלי רכב אוטו
3758,bass,בס (במוזיקה)
3759,bead,חרוז
3760,beak,מקור
3761,bee,דבורה
3762,bell,פעמון
3763,berry,גרגרי יער
3764,blade,להב
3765,blame,להאשים
3766,blanket,שמיכה
3767,bleak,עגום
3768,blew,נשב (רוח) ניפח פוצץ
3769,brick,לבנה
3770,bully,בריון
3771,butterfly,פרפר
3772,cadaver,גופה
3773,camel,גמל
3774,cancel,לבטל
3775,candy,ממתק
3776,canvass,לבדוק לסקור
3777,carpet,שטיח
3778,cash,מזומן
3779,cash,לפדות
3780,cashier,קופאי
3781,casino,קזינו
3782,caterpillar,זחל
3783,cave,מערה
3784,caviar,קוויאר
3785,cereal,דגני בוקר
3786,cigarette,סיגריה
3787,citrus,פרי הדר
3788,clay,חימר
3789,cloud,ענן
3790,club,מועדון
3791,cockroach  ',מקק ג'וק
3792,coffin,ארון מתים
3793,cologne,קולון בושם (של גבר)
3794,compost,זבל אורגני
3795,conductor,מנצח (תזמורת)
3796,conquistador,כובש
3797,consonant,עיצור (לשון)
3798,coop,לכלוא
3799,coop,לול
3800,copper,נחושת
3801,cotton,כותנה
3802,cougar,פומה סוג של טורף
3803,coupon,קופון
3804,cucumber,מלפפון
3805,culminate,הגיע לשיא
3806,czar,צאר (שליט רוסי)
3807,dart,חץ
3808,date,תאריך
3809,date,תמר
3810,date,יציאה פגישה דייט
3811,Dead Sea,ים המלח
3812,denominator,מכנה (של שבר)
3813,dental,שקשור בשיניים
3814,dentist,רופא שיניים
3815,diary,יומן
3816,dictator,עריץ דיקטטור
3817,dilemma,דילמה בעיה
3818,diurnal,יומי
3819,divorce,גירושין
3820,doorstep,מפתן הדלת
3821,dovecote,שובך
3822,dust,אבק לאבק
3823,Dutch,הולנדי
3824,dwarf,לגמד גמד
3825,dwindle,הידלדל התמעט
3826,eagle,נשר
3827,echo,הד
3828,edible,אכיל
3829,eel,צלופח
3830,elephant,פיל
3831,envelope,מעטפה
3832,exotic,אקזוטי מארץ זרה
3833,explosive,חומר נפץ
3834,fairy,פיה
3835,fairytale,אגדה
3836,fan,מאוורר לאוורר
3837,fan,מעריץ אוהד
3838,fancy,מגונדר
3839,fancy,מחבב
3840,fashion,אופנה
3841,fashion,לעצב
3842,filmmaker,יוצר סרטים
3843,filter,פילטר מסנן
3844,fisherman,דייג
3845,fishing,דיג
3846,flimsy,עדין שביר
3847,folk,עממי
3848,folklore,פולקלור
3849,fool,טיפש לשטות במישהו
3850,footage,קטע צילום
3851,forest,יער
3852,forgive,לסלוח
3853,fork,מזלג
3854,formula,נוסחה פורמולה
3855,formulate,לנסח
3856,fraternal,אחוותי של אחים
3857,frog,צפרדע
3858,furnish,לרהט
3859,garbage,זבל
3860,garden,גן
3861,garlic,שום
3862,gate,שער
3863,gift,מתנה
3864,glacier,קרחון
3865,gland,בלוטה
3866,glass,כוס
3867,glass,זכוכית
3868,glaze,זיגוג
3869,glove,כפפה
3870,golden,מוזהב
3871,grammatical,דקדוקי
3872,grapes,ענבים
3873,grit,גרגרים לכלוך
3874,grocery,מכולת
3875,groom,לטפח לטפל
3876,groom,חתן
3877,guillotine,גיליוטינה
3878,Gulf War,מלחמת המפרץ
3879,gym,אולם ספורט
3880,gymnasium,אולם ספורט
3881,handicap,נכה
3882,harmony,הרמוניה
3883,heart,לב
3884,heartbeat,דופק פעימות לב
3885,heroine,גיבורה
3886,hilarious,מצחיק
3887,hill,גבעה
3888,horn,"קרן (של בע""ח)"
3889,horn,צופר
3890,housemaid,עוזרת בית מנקה
3891,howl,יללה לילל
3892,index,אינדקס תוכן עניינים
3893,inexpensive,לא יקר זול
3894,inn,פונדק
3895,intense,עז אינטנסיבי
3896,intoxicate,להרעיל לשכר
3897,intoxicate,להלהיב
3898,intuition,אינטואיציה
3899,invertebrate,חסר חוליות
3900,ivory,שנהב
3901,janitor,שרת
3902,jog  ',ריצה ג'וגינג לרוץ
3903,joke,בדיחה
3904,jug,כד קנקן
3905,juice,מיץ
3906,jungle ',ג'ונגל
3907,junkyard,מגרש גרוטאות
3908,kettle,קומקום
3909,kite,עפיפון
3910,lake,אגם
3911,lame,צולע
3912,launder,לכבס
3913,leaf (leaves),עלה (עלים)
3914,league,ליגה
3915,league,מידת אורך קדומה
3916,leniency,חמלה רחמים
3917,leopard,נמר
3918,lifestyle,אורח חיים
3919,lip,שפה
3920,liver,כבד
3921,loan,הלוואה
3922,loathe,לתעב
3923,loyalty,נאמנות
3924,luck,מזל
3925,lunch,ארוחת צהריים
3926,made,עשה
3927,magical,קסום
3928,magnificent,מדהים
3929,make sure,להבטיח לוודא
3930,makeup,איפור
3931,marble,גּוָּלה
3932,marble,שיש
3933,marsupial,חיית כיס
3934,mathematician,מתמטיקאי
3935,miracle,נס פלא
3936,mock,ללעוג
3937,monk,נזיר
3938,monkey,קוף
3939,monster,מפלצת
3940,mood,מצב רוח
3941,mosquito,יתוש
3942,moth,עש
3943,mouse (mice),עכבר (עכברים)
3944,mouth,פה
3945,nausea,בחילה
3946,nickname,כינוי חיבה
3947,no longer,לא עוד
3948,numerator,מונה (של שבר)
3949,numeric,מספרי
3950,nut,אגוז
3951,octopus,תמנון
3952,ode,שיר הלל
3953,olive,זית
3954,onion,בצל
3955,orchestra,תזמורת
3956,orchestrate,לתאם לתזמר
3957,oven,תנור בישול
3958,overhaul,שיפוץ אוברול
3959,pad,לרפד
3960,paddle,מחבט
3961,paddle,משוט דוושה
3962,pan,מחבת
3963,paradox,סתירה פרדוקס
3964,pathology,פתולוגיה ענף ברפואה
3965,peach,אפרסק
3966,pepper,פלפל
3967,perch,ענף
3968,perch,נח ישב על ענף
3969,pet,חיית מחמד
3970,pharmacy,בית מרקחת
3971,philosophy,פילוסופיה
3972,photograph,צילום לצלם
3973,physical,פיזי גופני
3974,physicist,פיזיקאי
3975,pick,מפרט לגיטרה
3976,pick,לקטוף לבחור
3977,pigeon,יונה
3978,pinch,לצבוט
3979,pit,בור
3980,plaster,טיח
3981,pool,בריכה
3982,pothole,מהמורה בור
3983,pottery,קדרות
3984,poultry,עוף
3985,prank,מתיחה
3986,pregnancy,הריון
3987,pregnant,הרה (בהריון)
3988,prehistoric,קדמון פרה היסטורי
3989,preparation for,הכנות לקראת
3990,presentation,מצגת
3991,prick,לדקור
3992,printer,מדפסת ַּדָּפס
3993,propaganda,תעמולה
3994,prowess,מיומנות יכולת
3995,purse,ארנק
3996,quarrelsome,וכחני
3997,rain,גשם
3998,rainbow,קשת
3999,rainfall,ירידת גשמים
4000,rainstorm,סערת גשמים
4001,rat,עכברוש
4002,redhead,ג'ינג'י (סלנג)
4003,rehearsal,חזרה
4004,rehearse,לחזור לתרגל
4005,reincarnation,גלגול נשמות
4006,restaurant,מסעדה
4007,resurgence,תחייה
4008,retroactive,רטרואקטיבי למפרע
4009,rhyme,חרוז
4010,rice,אורז
4011,ride,רכיבה לרכוב
4012,ring,זירה
4013,ring,טבעת
4014,ring rang,לצלצל צלצל
4015,roast,לקלות צלי
4016,robbery,שוד
4017,robe,חלוק
4018,roof,גג
4019,rubbish,זבל
4020,rubbish,שטויות
4021,run ran,לרוץ רץ
4022,saga,סיפור סאגה
4023,salt,מלח
4024,sarcophagus,ארון קבורה קדום
4025,savanna,ערבה סוואנה
4026,script,תסריט
4027,seafood,פירות ים
4028,seat,מושב להושיב
4029,secret,סוד
4030,sentiments,רגשות
4031,shadow,צל להאפיל
4032,shave,גילוח לגלח
4033,shelf (shelves),מדף (מדפים)
4034,shepherd,רועה צאן
4035,shingles,רעף
4036,shop,חנות
4037,shop,לקנות
4038,shoulder,כתף
4039,show,הופעה
4040,show,להראות
4041,shy,ביישן
4042,silk,משי
4043,silkworm,תולעת משי
4044,singer,זמר
4045,sir,אדון תואר אצולה אנגלי
4046,sky,שמיים רקיע
4047,smog,ערפיח
4048,smoke,עשן לעשן
4049,snake,נחש
4050,snap,במהירות (סלנג)
4051,snap,להישבר
4052,snarl,לרטון לנחור
4053,sneeze,להתעטש
4054,snow,שלג
4055,soccer,כדורגל
4056,sold,מכר
4057,South,דרום
4058,southern,דרומי
4059,speck,כתם
4060,spider,עכביש
4061,spinach,תרד
4062,sponsor,נותן חסות
4063,spontaneous,ללא מחשבה
4064,spread,התפשטות פיזור
4065,spread,ממרח למרוח
4066,spy,מרגל לרגל
4067,staircase,גרם מדרגות
4068,stalk,לעקוב להטריד
4069,star,כוכב לככב
4070,staunch,לעצור לחסום
4071,staunch,חזק מוצק
4072,steal,לגנוב
4073,stereotype,סטריאוטיפ
4074,sticky,דביק
4075,stove,תנור כיריים
4076,stroke,מכה
4077,stroke,ליטוף
4078,stroke,שבץ/אירוע מוחי
4079,studio,סטודיו
4080,stuff,דברים
4081,stuff,למלא לפחלץ
4082,stunt,פעלול
4083,stupid,טיפש
4084,subtraction,חיסור (חשבון)
4085,sugar,סוכר
4086,sweet,מתוק ממתק
4087,swept away,נסחף
4088,swindler,רמאי
4089,sword,חרב
4090,syllable,הברה
4091,syndrome,תסמונת
4092,syrup,סירופ
4093,tale,סיפור אגדה
4094,taste,טעם לטעום
4095,tax,מס
4096,teeth tooth,שיניים שן
4097,tent,אוהל
4098,thank,תודה להודות
4099,theater,תיאטרון
4100,theater,בית קולנוע
4101,theoretically,תיאורטית לכאורה
4102,theory,תיאוריה
4103,thimble,אצבעון (לתפירה)
4104,through,דרך מבעד
4105,throughout,במשך בכל
4106,throw,לזרוק זריקה
4107,ticket,כרטיס
4108,timeline,ציר זמן
4109,tin,בדיל עשוי מפח
4110,tiny,קטנטן
4111,toad,קרפדה
4112,toes,בהונות
4113,tongue,לשון
4114,treasure,אוצר לנצור
4115,treat,להתייחס
4116,treat,פינוק ממתק
4117,treat,לפנק
4118,treatment,טיפול
4119,treaty,אמנה הסכם חוזה
4120,trigger,הדק
4121,triggered,גרם עורר הוביל ל
4122,trim,לגזום
4123,triple  3,פי 3
4124,truck,משאית קרון משא
4125,tutor,מורה פרטי להדריך
4126,twig,ענף קטן זרד
4127,twins,תאומים
4128,ugly,מכוער
4129,unattractive,לא מושך
4130,uncle,דוד
4131,unconcerned,לא מודאג
4132,uncritical,לא ביקורתי
4133,unearth,לחשוף לחפור
4134,unfair,לא הוגן
4135,unholy,לא קדוש לא מוסרי
4136,unwanted,לא רצוי
4137,upbringing,גידול חינוך
4138,upholstery,ריפוד
4139,usher,סדרן
4140,using up,לכלות לנצל עד תום
4141,vacation,חופשה
4142,vertebrate,בעל חוליות
4143,vest,אפודה
4144,victory,ניצחון
4145,villain,רשע נבל
4146,vinegar,חומץ
4147,viper,צפע
4148,vociferous,רעשני
4149,vowel,תנועה (לשון)
4150,wall,קיר
4151,wart,יבלת
4152,wasp,צרעה
4153,waterfall,מפל
4154,wave,גל
4155,weapon,נשק
4156,wear,ללבוש
4157,weave,לטוות לארוג
4158,wedding,חתונה
4159,weekend,סוף שבוע
4160,well,באר
4161,well,טוב היטב
4162,well,בריא
4163,whale,לוויתן
4164,whistle,משרוקית לשרוק
4165,wholesale,סיטונאות
4166,wife,אישה רעיה
4167,win,ניצחון לנצח
4168,wolf (wolves),זאב (זאבים)
4169,work,עבודה לעבוד
4170,worm,תולעת
4171,writer,סופר
4172,yawn,לפהק פיהוק
4173,zealot,קנאי פנט
